parameter,kategoria,kategoria_nev,statusz,forras,kapcsolo,or,doksi
zeta_E,B,nyilvános magyar makroadat (KSH),pótolandó,jelenleg JV-érték átvitele; KSH-ból pótolandó (teendők 2.4),-DDECOMP,,
zeta_D,B,nyilvános magyar makroadat (KSH),pótolandó,jelenleg JV-érték átvitele; KSH-ból pótolandó (teendők 2.4),-DDECOMP,,
zeta_L,B,nyilvános magyar makroadat (KSH),pótolandó,jelenleg JV-érték átvitele; KSH-ból pótolandó (teendők 2.4),-DDECOMP,,
aa_E,B,nyilvános magyar makroadat (KSH),pótolandó,jelenleg JV-érték átvitele; KSH-ból pótolandó (teendők 2.4),-DDECOMP,,
aa_D,B,nyilvános magyar makroadat (KSH),pótolandó,jelenleg JV-érték átvitele; KSH-ból pótolandó (teendők 2.4),-DDECOMP,,
aa_L,B,nyilvános magyar makroadat (KSH),pótolandó,jelenleg JV-érték átvitele; KSH-ból pótolandó (teendők 2.4),-DDECOMP,,
chi_E,D,nem azonosított / több adat kell,horgonyzatlan,"Opten-panel: chi_S≈+0,002 (alsó korlát); irodalom 0,042–0,067 (C&D 2008; BGG-konvenció). IRÁNY: Loan spreads over the credit cycle (2025) — a KKV-felár tágabban nő szigorú időszakban; méret szerinti SZINT-becslés továbbra sincs.",,,kalibracio_bgg_blokk.md; 2026-08-24_D_kategoria_irodalmi_kereses.md
chi_D,D,nem azonosított / több adat kell,horgonyzatlan,"Opten-panel: chi_S≈+0,002 (alsó korlát); irodalom 0,042–0,067. IRÁNY: lásd chi_E.",,,kalibracio_bgg_blokk.md; 2026-08-24_D_kategoria_irodalmi_kereses.md
chi_L,D,nem azonosított / több adat kell,horgonyzatlan,"NEM AZONOSÍTOTT a magyar panelen (n=230, t=-0,78, rossz előjel). JELÖLT: Levin–Natalucci–Zakrajšek (2004) ~900 US kötvénykibocsátóra becsül — ez definíció szerint a NAGYVÁLLALATI kör, tehát chi_L-re releváns.",,,kalibracio_bgg_blokk.md; 2026-08-24_D_kategoria_irodalmi_kereses.md
lev_E,A,saját adat (Opten-panel),horgonyzott,"Opten-panel medián 1,939 (sáv 1,68–1,94); irodalom k/n=2 (C&D 2008 1. tábla)",-DOPTEN,t50: tokeattetel-sorrend,kalibracio_bgg_blokk.md
lev_D,A,saját adat (Opten-panel),horgonyzott,"Opten-panel medián 1,719 (sáv 1,58–1,72)",-DOPTEN,t50: tokeattetel-sorrend,kalibracio_bgg_blokk.md
lev_L,A,saját adat (Opten-panel),horgonyzott,"Opten-panel medián 2,337 (sáv 1,81–2,34)",-DOPTEN,t50: tokeattetel-sorrend,kalibracio_bgg_blokk.md
psi_E,D,nem azonosított / több adat kell,horgonyzatlan,Nincs közvetlen becslés. ⚠ AZ IRODALOM AZ ELLENKEZŐ SORRENDET SUGALLJA: a lumpy-investment irodalom (Khan–Thomas 2008; Bachmann–Caballero–Engel 2013) szerint a KIS cégek beruházása rögösebb → psi_S > psi_L. SCAN KELL.,,,2026-08-24_D_kategoria_irodalmi_kereses.md
psi_D,D,nem azonosított / több adat kell,horgonyzatlan,Nincs közvetlen becslés. ⚠ Lásd psi_E: az irodalom a jelenlegi méret-sorrend ellenkezőjét sugallja. SCAN KELL.,,,2026-08-24_D_kategoria_irodalmi_kereses.md
psi_L,D,nem azonosított / több adat kell,horgonyzatlan,"Nincs közvetlen becslés. Khan–Thomas (2008): a kiigazítási-költség paraméterek az AGGREGÁLT eredményt alig mozgatják — alacsony prioritás az A01-hez, de a szektorálishoz nem.",,,2026-08-24_D_kategoria_irodalmi_kereses.md
tsov_E,D,nem azonosított / több adat kell,horgonyzatlan,"Nincs szint-becslés. SZERKEZETI TÁMOGATÁS: Bottero–Lenzu–Mezzanotti (JIE 2018) — a szuverén sokk mennyiségi átgyűrűzése méret-SEMLEGES, a reálhatás nem. Ez épp a jelenlegi szerkezetet támogatja (semleges tsov + méret-függő access).",,,FIGYELMEZTETES_fo_allitas.md; 2026-08-24_D_kategoria_irodalmi_kereses.md
tsov_D,D,nem azonosított / több adat kell,horgonyzatlan,"Lásd tsov_E: Bottero–Lenzu–Mezzanotti (JIE 2018), méret-semleges átgyűrűzés.",,,FIGYELMEZTETES_fo_allitas.md; 2026-08-24_D_kategoria_irodalmi_kereses.md
tsov_L,D,nem azonosított / több adat kell,horgonyzatlan,"Lásd tsov_E: Bottero–Lenzu–Mezzanotti (JIE 2018), méret-semleges átgyűrűzés.",,,FIGYELMEZTETES_fo_allitas.md; 2026-08-24_D_kategoria_irodalmi_kereses.md
tbank_E,D,nem azonosított / több adat kell,horgonyzatlan,"IRODALOM VAN: Horváth–Kotlebová–Širaňová (JFS 2018, 36:12–21) — a transzmisszió CSAK a kisvállalati hitelekre teljes. ⚠ ELLENTÉTES a saját magyar mérésünkkel (A16/t25). Lásd F06; a TSCEN=3 semleges alapértelmezés marad.",,F06,FIGYELMEZTETES_fo_allitas.md; 2026-08-24_D_kategoria_irodalmi_kereses.md
tbank_D,D,nem azonosított / több adat kell,horgonyzatlan,"Lásd tbank_E: Horváth et al. (2018) vs A16 — ellentétes irány, TSCEN=3 marad.",,F06,FIGYELMEZTETES_fo_allitas.md; 2026-08-24_D_kategoria_irodalmi_kereses.md
tbank_L,D,nem azonosított / több adat kell,horgonyzatlan,"Lásd tbank_E: Horváth et al. (2018) vs A16 — ellentétes irány, TSCEN=3 marad.",,F06,FIGYELMEZTETES_fo_allitas.md; 2026-08-24_D_kategoria_irodalmi_kereses.md
wd_E,E,származtatott vagy technikai,származtatott,más paraméterekből számolódik / technikai zárás,,,
wd_D,E,származtatott vagy technikai,származtatott,más paraméterekből számolódik / technikai zárás,,,
wd_L,E,származtatott vagy technikai,származtatott,más paraméterekből számolódik / technikai zárás,,,
wx_E,E,származtatott vagy technikai,származtatott,más paraméterekből számolódik / technikai zárás,,,
wx_D,E,származtatott vagy technikai,származtatott,más paraméterekből számolódik / technikai zárás,,,
wx_L,E,származtatott vagy technikai,származtatott,más paraméterekből számolódik / technikai zárás,,,
shl_E,A,saját adat (Opten-panel),feltételes,"Opten-panel, de a 10+ fős körön BELÜLI részesedés — KSH/Eurostat SBS mikrokör-bontás kell az átskálázáshoz (teendők 2.5)",-DOPTEN,t46: sulyok 1-re osszegzodnek,2026-08-16_opten_kalibracio_eredmeny.md
shl_D,A,saját adat (Opten-panel),feltételes,"Opten-panel, de a 10+ fős körön BELÜLI részesedés — KSH/Eurostat SBS mikrokör-bontás kell az átskálázáshoz (teendők 2.5)",-DOPTEN,t46: sulyok 1-re osszegzodnek,2026-08-16_opten_kalibracio_eredmeny.md
shl_L,A,saját adat (Opten-panel),feltételes,"Opten-panel, de a 10+ fős körön BELÜLI részesedés — KSH/Eurostat SBS mikrokör-bontás kell az átskálázáshoz (teendők 2.5)",-DOPTEN,t46: sulyok 1-re osszegzodnek,2026-08-16_opten_kalibracio_eredmeny.md
shm_E,E,származtatott vagy technikai,származtatott,más paraméterekből számolódik / technikai zárás,,,
shm_D,E,származtatott vagy technikai,származtatott,más paraméterekből számolódik / technikai zárás,,,
shm_L,E,származtatott vagy technikai,származtatott,más paraméterekből számolódik / technikai zárás,,,
s_kkv,D,nem azonosított / több adat kell,horgonyzatlan,Az IO-alapú számítás NEM ÁLL (FIGYELMEZTETES_io_tabla_gyanus.md). MEGKERÜLHETŐ: OECD TiVA/ICIO Hungary country note + OECD Economic Surveys: Hungary 2026 KKV-fejezet (a KKV-k a hozzáadott érték 54%-át adják). ÚJRASZÁMOLANDÓ.,-DSKKV,,FIGYELMEZTETES_io_tabla_gyanus.md; 2026-08-24_D_kategoria_irodalmi_kereses.md
mu_vert,D,nem azonosított / több adat kell,horgonyzatlan,"Kerestünk: a beszállítói ár-átgyűrűzés rugalmasságára nem találtunk becslést. A húszból ez az EGYETLEN, amiről a keresés után is azt mondjuk, hogy nincs mit megnézni.",-DMUVERT,,FIGYELMEZTETES_io_tabla_gyanus.md; 2026-08-24_D_kategoria_irodalmi_kereses.md
zsov,D,nem azonosított / több adat kell,horgonyzatlan,KÖZVETLENÜL MÉRHETŐ két nyilvános idősorból (magyar szuverén felár vs. BUBOR–EURIBOR különbözet). Irodalmi támpont: Vonnák (MNB WP 2010/1). A húszból ez a legolcsóbb horgony — és tisztán makró idősorból megy.,,,2026-08-24_D_kategoria_irodalmi_kereses.md
eps_ces,D,nem azonosított / több adat kell,horgonyzatlan,"Magyar markup-becslés LÉTEZIK: Dobrinsky–Kőrösi–Markov–Halpern (JCE 2006, 34(1):92–110). ⚠ DE MÁS OBJEKTUM: nálunk az eps_ces a VÁLLALATTÍPUSOK, az irodalmi markup a TERMÉKVÁLTOZATOK közti helyettesítés. Plauzibilitási sáv, nem horgony.",-DEPSCES,,2026-08-24_D_kategoria_irodalmi_kereses.md
rho_acc,A,saját adat (Opten-panel),horgonyzott,"Opten-panel van_hitel átmenet-mátrix (0,9673) — ALSÓ KORLÁT",-DOPTEN / -DRHOACC,t49b: kuszob monoton a rho_acc-ban,2026-08-16_opten_kalibracio_eredmeny.md
lambda_acc_E,D,nem azonosított / több adat kell,horgonyzatlan,"⚠ CSAK A SZORZAT AZONOSÍTHATÓ (A22): a modell a lambda_acc-ot és az omega_acc-ot külön nem különbözteti meg. Forrásjelölt a szorzatra: EIBIS, EC/ECB SAFE éves kör (magyar + mikro bontással).",-DACCSCALE / -DLAMSCALE,A22,2026-08-12_access_horgonyzas_eredmeny.md; 2026-08-24_D_kategoria_irodalmi_kereses.md
lambda_acc_D,D,nem azonosított / több adat kell,horgonyzatlan,⚠ CSAK A SZORZAT AZONOSÍTHATÓ (A22). Lásd lambda_acc_E.,-DACCSCALE / -DLAMSCALE,A22,2026-08-12_access_horgonyzas_eredmeny.md; 2026-08-24_D_kategoria_irodalmi_kereses.md
omega_acc_E,D,nem azonosított / több adat kell,horgonyzatlan,"⚠ CSAK A SZORZAT AZONOSÍTHATÓ (A22). IRÁNY: a pénzügyileg nem korlátozott cégek nettó beruházási rátája ~7,8 pp-tal magasabb, és a hatás kisebb a nagyvállalatoknál. ⚠ A BIS WP 984 magyar program-hatását TILOS omega_acc-nak nevezni (CLAUDE.md).",-DACCSCALE / -DOMSCALE,A22,2026-08-12_access_horgonyzas_eredmeny.md; 2026-08-24_D_kategoria_irodalmi_kereses.md
omega_acc_D,D,nem azonosított / több adat kell,horgonyzatlan,⚠ CSAK A SZORZAT AZONOSÍTHATÓ (A22). Lásd omega_acc_E.,-DACCSCALE / -DOMSCALE,A22,2026-08-12_access_horgonyzas_eredmeny.md; 2026-08-24_D_kategoria_irodalmi_kereses.md
sc,B,nyilvános magyar makroadat (KSH),pótolandó,jelenleg JV-érték átvitele; KSH-ból pótolandó (teendők 2.4),,,
si,B,nyilvános magyar makroadat (KSH),pótolandó,jelenleg JV-érték átvitele; KSH-ból pótolandó (teendők 2.4),,,
sg,B,nyilvános magyar makroadat (KSH),pótolandó,jelenleg JV-érték átvitele; KSH-ból pótolandó (teendők 2.4),,,
sx,B,nyilvános magyar makroadat (KSH),pótolandó,jelenleg JV-érték átvitele; KSH-ból pótolandó (teendők 2.4),,,
sm,B,nyilvános magyar makroadat (KSH),pótolandó,jelenleg JV-érték átvitele; KSH-ból pótolandó (teendők 2.4),,,
shd_c,E,származtatott vagy technikai,származtatott,más paraméterekből számolódik / technikai zárás,,,
shd_i,E,származtatott vagy technikai,származtatott,más paraméterekből számolódik / technikai zárás,,,
shd_g,E,származtatott vagy technikai,származtatott,más paraméterekből számolódik / technikai zárás,,,
shd_v,E,származtatott vagy technikai,származtatott,más paraméterekből számolódik / technikai zárás,,,
rho_a,C,JV-becsült (MNB WP 2008/9 poszterior),horgonyzott,"Jakab–Világi, MNB WP 2008/9, becsült poszterior átlag",,,
rho_x,C,JV-becsült (MNB WP 2008/9 poszterior),horgonyzott,"Jakab–Világi, MNB WP 2008/9, becsült poszterior átlag",,,
rho_c,C,JV-becsült (MNB WP 2008/9 poszterior),horgonyzott,"Jakab–Világi, MNB WP 2008/9, becsült poszterior átlag",,,
rho_w,C,JV-becsült (MNB WP 2008/9 poszterior),horgonyzott,"Jakab–Világi, MNB WP 2008/9, becsült poszterior átlag",,,
rho_i,C,JV-becsült (MNB WP 2008/9 poszterior),horgonyzott,"Jakab–Világi, MNB WP 2008/9, becsült poszterior átlag",,,
rho_pr,C,JV-becsült (MNB WP 2008/9 poszterior),horgonyzott,"Jakab–Világi, MNB WP 2008/9, becsült poszterior átlag",,,
rho_mx,C,JV-becsült (MNB WP 2008/9 poszterior),horgonyzott,"Jakab–Világi, MNB WP 2008/9, becsült poszterior átlag",,,
rho_g,C,JV-becsült (MNB WP 2008/9 poszterior),horgonyzott,"Jakab–Világi, MNB WP 2008/9, becsült poszterior átlag",,,
